,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Run Date,Action,Symbol,Security Description,Security Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Settlement Date
 05/16/2017, CASH CONTRIBUTION CURRENT YEAR, , No Description,Cash,,,,,,250,
 05/15/2017, YOU BOUGHT, CLDR, CLOUDERA INC COM,Cash,22,20.95,4.95,,,-465.89, 05/18/2017
 05/05/2017, YOU BOUGHT, TSLA, TESLA INC COM,Cash,9,302.58,4.95,,,-2728.13, 05/10/2017
 05/05/2017, YOU SOLD, IVV, ISHARES CORE S&P 500 ETF,Cash,-12,240.37,4.95,0.07,,2879.41, 05/10/2017
 05/04/2017, YOU BOUGHT, TSLA, TESLA INC COM,Cash,12,295.56,4.95,,,-3551.72, 05/09/2017
 05/04/2017, YOU SOLD, IVV, ISHARES CORE S&P 500 ETF,Cash,-15,240.05,,0.08,,3600.63, 05/09/2017
 05/02/2017, CASH CONTRIBUTION CURRENT YEAR, , No Description,Cash,,,,,,200, 
 05/01/2017, CASH CONTRIBUTION CURRENT YEAR, , No Description,Cash,,,,,,100, 
 05/01/2017, CASH CONTRIBUTION CURRENT YEAR, , No Description,Cash,,,,,,250, 
 04/28/2017, YOU BOUGHT, IVV, ISHARES CORE S&P 500 ETF,Cash,2,239.68,,,,-479.36, 05/03/2017
 04/21/2017, YOU BOUGHT, IVV, ISHARES CORE S&P 500 ETF,Cash,3,236.53,,,,-709.58, 04/26/2017
 04/17/2017, CASH CONTRIBUTION PRIOR YEAR, , No Description,Cash,,,,,,850, 
 04/05/2017, CASH CONTRIBUTION PRIOR YEAR, , No Description,Cash,,,,,,100, 
 04/04/2017, YOU BOUGHT, IVV, ISHARES CORE S&P 500 ETF,Cash,1,236.56,,,,-236.56, 04/07/2017
 04/04/2017, YOU BOUGHT, IVV, ISHARES CORE S&P 500 ETF,Cash,2,236.51,,,,-473.02, 04/07/2017
 04/03/2017, CASH CONTRIBUTION CURRENT YEAR, , No Description,Cash,,,,,,200, 
 03/30/2017, DIVIDEND RECEIVED, IVV, ISHARES CORE S&P 500 ETF,Cash,,,,,,21.68, 
 03/30/2017, DIVIDEND RECEIVED, IVV, ISHARES CORE S&P 500 ETF,Cash,,,,,,3.1, 
 03/02/2017, CASH CONTRIBUTION CURRENT YEAR, , No Description,Cash,,,,,,200, 
 02/27/2017, YOU BOUGHT, IVV, ISHARES CORE S&P 500 ETF,Cash,2,238.1,,,,-476.2, 03/02/2017
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
The data and information in this spreadsheet is provided to you solely for your use and is not for distribution. The spreadsheet is provided for,,,,,,,,,,,
"informational purposes only, and is not intended to provide advice, nor should it be construed as an offer to sell, a solicitation of an offer to buy or a",,,,,,,,,,,
recommendation for any security by Fidelity or any third party. Data and information shown is based on information known to Fidelity as of the date it was,,,,,,,,,,,
exported and is subject to change. It should not be used in place of your account statements or trade confirmations and is not intended for tax reporting,,,,,,,,,,,
"purposes. For more information on the data included in this spreadsheet, including any limitations thereof, go to Fidelity.com.",,,,,,,,,,,
,,,,,,,,,,,
"Brokerage services are provided by Fidelity Brokerage Services LLC, 900 Salem Street, Smithfield, RI 02917. Custody and other services provided by National",,,,,,,,,,,
"Financial Services LLC. Both are Fidelity Investment companies and members SIPC, NYSE.",,,,,,,,,,,
,,,,,,,,,,,
"Date downloaded"" 05/19/2017, 11:29 AM
",,,,,,,,,,,
