Run Date,Action,Symbol,Security Description,Security Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Settlement Date
 03/29/2018, INTEREST EARNED, QBYIQ, FDIC INSURED DEPOSIT AT BNY MELLON IRA ,Cash,,,,,,0.01,
 03/16/2018, DIVIDEND RECEIVED, NVDA, NVIDIA CORP,Cash,,,,,,0.6,
 02/28/2018, INTEREST EARNED, QBYIQ, FDIC INSURED DEPOSIT AT BNY MELLON IRA ,Cash,,,,,,0.04,
 02/27/2018, YOU SOLD, IVV, ISHARES CORE S&P 500 ETF,Cash,-12,280.17, 4.95,0.08,,3357.01, 03/01/2018
 02/27/2018, YOU BOUGHT, ANET, ARISTA NETWORKS INC COM USD0.0001,Cash,13,263.1, 4.95,,,-3425.3, 03/01/2018
 02/21/2018, CASH CONTRIBUTION PRIOR YEAR, , No Description,Cash,,,,,,1350,
 02/20/2018, YOU BOUGHT, FICO, FAIR ISAAC CORP COM,Cash,8,169, 4.95,,,-1356.95, 02/22/2018
 02/05/2018, YOU BOUGHT, NVDA, NVIDIA CORP,Cash,4,211.1, 4.95,,,-849.35, 02/07/2018
 02/05/2018, YOU BOUGHT, IVV, ISHARES CORE S&P 500 ETF,Cash,4,276.14,,,,-1104.57, 02/07/2018
 02/05/2018, YOU SOLD, CLDR, CLOUDERA INC COM,Cash,-60,17.93, 4.95,0.03,,1070.82, 02/07/2018
 02/01/2018, CASH CONTRIBUTION PRIOR YEAR, , No Description,Cash,,,,,,400,
 01/31/2018, INTEREST EARNED, QBYIQ, FDIC INSURED DEPOSIT AT BNY MELLON IRA ,Cash,,,,,,0.06,
 01/09/2018, CASH CONTRIBUTION PRIOR YEAR, , No Description,Cash,,,,,,200,
 12/29/2017, INTEREST EARNED, QBYIQ, FDIC INSURED DEPOSIT AT BNY MELLON IRA ,Cash,,,,,,0.04,
 12/26/2017, DIVIDEND RECEIVED, IVV, ISHARES CORE S&P 500 ETF,Cash,,,,,,10.18,
 12/04/2017, CASH CONTRIBUTION CURRENT YEAR, , No Description,Cash,,,,,,200,
 11/30/2017, INTEREST EARNED, QBYIQ, FDIC INSURED DEPOSIT AT BNY MELLON IRA ,Cash,,,,,,0.02,
 11/14/2017, CASH CONTRIBUTION CURRENT YEAR, , No Description,Cash,,,,,,1000,
 11/13/2017, YOU BOUGHT, IVV, ISHARES CORE S&P 500 ETF,Cash,5,259.99,,,,-1299.95, 11/15/2017
 11/02/2017, CASH CONTRIBUTION CURRENT YEAR, , No Description,Cash,,,,,,200,
 10/31/2017, INTEREST EARNED, QBYIQ, FDIC INSURED DEPOSIT AT BNY MELLON IRA ,Cash,,,,,,0.02,
 10/02/2017, CASH CONTRIBUTION CURRENT YEAR, , No Description,Cash,,,,,,200,
 09/29/2017, DIVIDEND RECEIVED, IVV, ISHARES CORE S&P 500 ETF,Cash,,,,,,3.85,
 09/29/2017, INTEREST EARNED, QBYIQ, FDIC INSURED DEPOSIT AT BNY MELLON IRA ,Cash,,,,,,0.01,
 09/06/2017, YOU BOUGHT, IVV, ISHARES CORE S&P 500 ETF,Cash,2,248.55,,,,-497.1, 09/08/2017
 09/05/2017, CASH CONTRIBUTION CURRENT YEAR, , No Description,Cash,,,,,,200,
 08/31/2017, INTEREST EARNED, QBYIQ, FDIC INSURED DEPOSIT AT BNY MELLON IRA ,Cash,,,,,,0.02,
 08/02/2017, CASH CONTRIBUTION CURRENT YEAR, , No Description,Cash,,,,,,200,
 07/31/2017, INTEREST EARNED, QBYIQ, FDIC INSURED DEPOSIT AT BNY MELLON IRA ,Cash,,,,,,0.01,
 07/03/2017, CASH CONTRIBUTION CURRENT YEAR, , No Description,Cash,,,,,,200,
 06/30/2017, DIVIDEND RECEIVED, IVV, ISHARES CORE S&P 500 ETF,Cash,,,,,,1.12,
 06/07/2017, YOU SOLD, IVV, ISHARES CORE S&P 500 ETF,Cash,-5,245.13,,0.03,,1225.61, 06/12/2017
 06/07/2017, YOU BOUGHT, CLDR, CLOUDERA INC COM,Cash,60,22.81, 4.95,,,-1373.61, 06/12/2017
 06/05/2017, YOU BOUGHT, IVV, ISHARES CORE S&P 500 ETF,Cash,1,245.69,,,,-245.69, 06/08/2017
 06/02/2017, CASH CONTRIBUTION CURRENT YEAR, , No Description,Cash,,,,,,200,
 05/02/2017, CASH CONTRIBUTION CURRENT YEAR, , No Description,Cash,,,,,,200,
 04/04/2017, YOU BOUGHT, IVV, ISHARES CORE S&P 500 ETF,Cash,2,236.51,,,,-473.02, 04/07/2017
 04/03/2017, CASH CONTRIBUTION CURRENT YEAR, , No Description,Cash,,,,,,200,
 03/30/2017, DIVIDEND RECEIVED, IVV, ISHARES CORE S&P 500 ETF,Cash,,,,,,3.1,
 03/02/2017, CASH CONTRIBUTION CURRENT YEAR, , No Description,Cash,,,,,,200,
 02/03/2017, YOU BOUGHT, IVV, ISHARES CORE S&P 500 ETF,Cash,2,229.9,,,,-459.8, 02/08/2017
 02/03/2017, CASH CONTRIBUTION CURRENT YEAR, , No Description,Cash,,,,,,450,
 01/18/2017, CASH CONTRIBUTION PRIOR YEAR, , No Description,Cash,,,,,,12,
 01/12/2017, YOU BOUGHT, IVV, ISHARES CORE S&P 500 ETF,Cash,1,227.52,,,,-227.52, 01/18/2017
 01/11/2017, CASH CONTRIBUTION PRIOR YEAR, , No Description,Cash,,,,,,200,
 01/04/2017, CASH CONTRIBUTION CURRENT YEAR, , No Description,Cash,,,,,,100,
