Run Date,Action,Symbol,Security Description,Security Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Settlement Date
 09/21/2018, DIVIDEND RECEIVED, NVDA, NVIDIA CORP,Cash,,,,,,13.95,
 08/31/2018, INTEREST EARNED, QPCBQ, FDIC INSURED DEPOSIT AT CITIBANK IRA NO,Cash,,,,,,0.04,
 08/16/2018, YOU BOUGHT, NVDA, NVIDIA CORP,Cash,67,256.78, 4.95,,,-17208.88, 08/20/2018
 08/16/2018, YOU SOLD, AMZN, AMAZON.COM INC,Cash,-9,1903.18, 4.95,0.23,,17123.46, 08/20/2018
 08/02/2018, YOU BOUGHT, ANET, ARISTA NETWORKS INC COM USD0.0001,Cash,33,272.73,,,,-9000.1, 08/06/2018
 08/02/2018, YOU SOLD, GOOGL, ALPHABET INC CAP STK CL A,Cash,-7,1241.65,,0.12,,8691.43, 08/06/2018
 07/31/2018, INTEREST EARNED, QPCBQ, FDIC INSURED DEPOSIT AT CITIBANK IRA NO,Cash,,,,,,0.09,
 07/26/2018, YOU BOUGHT, AMZN, AMAZON.COM INC,Cash,6,1827.78,,,,-10966.71, 07/30/2018
 07/26/2018, YOU SOLD, GOOG, ALPHABET INC CAP STK CL C,Cash,-2,1265.68,,0.04,,2531.32, 07/30/2018
 07/26/2018, YOU SOLD, GOOG, ALPHABET INC CAP STK CL C,Cash,-7,1265.68,,0.12,,8859.67, 07/30/2018
 07/06/2018, YOU BOUGHT, IVV, ISHARES CORE S&P 500 ETF,Cash,4,275.32,,,,-1101.28, 07/10/2018
 06/29/2018, DIVIDEND RECEIVED, HCA, HCA HEALTHCARE INC COM,Cash,,,,,,35,
 06/29/2018, INTEREST EARNED, QPCBQ, FDIC INSURED DEPOSIT AT CITIBANK IRA NO,Cash,,,,,,0.13,
 06/25/2018, YOU BOUGHT, GOOGL, ALPHABET INC CAP STK CL A,Cash,7,1148.04,,,,-8036.25, 06/27/2018
 06/22/2018, YOU SOLD, TSLA, TESLA INC COM,Cash,-26,339.57,,0.12,,8828.69, 06/26/2018
 06/15/2018, DIVIDEND RECEIVED, NVDA, NVIDIA CORP,Cash,,,,,,3.9,
 06/04/2018, YOU SOLD, HCA, HCA HEALTHCARE INC COM,Cash,-100,104.32,,0.14,,10431.88, 06/06/2018
 06/04/2018, YOU BOUGHT, GOOG, ALPHABET INC CAP STK CL C,Cash,9,1139.15,,,,-10252.35, 06/06/2018
 05/31/2018, INTEREST EARNED, QPCBQ, FDIC INSURED DEPOSIT AT CITIBANK IRA NO,Cash,,,,,,0.01,
 05/21/2018, YOU BOUGHT, TSLA, TESLA INC COM,Cash,26,290.5,,,,-7552.9, 05/23/2018
 05/21/2018, YOU SOLD, CELG, CELGENE CORP,Cash,-100,76.3,,0.1,,7629.9, 05/23/2018
 05/02/2018, YOU SOLD, TSLA, TESLA INC COM,Cash,-20,299,,0.14,,5979.86, 05/04/2018
 05/02/2018, YOU BOUGHT, NVDA, NVIDIA CORP,Cash,26,228.07,,,,-5929.82, 05/04/2018
 04/30/2018, INTEREST EARNED, QPCBQ, FDIC INSURED DEPOSIT AT CITIBANK IRA NO,Cash,,,,,,0.03,
 04/26/2018, YOU SOLD, IVV, ISHARES CORE S&P 500 ETF,Cash,-16,266.46,,0.1,,4263.26, 04/30/2018
 04/26/2018, YOU BOUGHT, AMZN, AMAZON.COM INC,Cash,3,1484.99,,,,-4454.97, 04/30/2018
 04/02/2018, YOU BOUGHT, TSLA, TESLA INC COM,Cash,20,254.6,,,,-5091.98, 04/04/2018
 04/02/2018, YOU SOLD, IVV, ISHARES CORE S&P 500 ETF,Cash,-20,258.27, 4.95,0.12,,5160.33, 04/04/2018
 03/29/2018, INTEREST EARNED, QPCBQ, FDIC INSURED DEPOSIT AT CITIBANK IRA NO,Cash,,,,,,0.54,
 03/28/2018, DIVIDEND RECEIVED, IVV, ISHARES CORE S&P 500 ETF,Cash,,,,,,44.23,
 03/14/2018, YOU BOUGHT, IVV, ISHARES CORE S&P 500 ETF,Cash,36,278.65,,,,-10031.48, 03/16/2018
 03/14/2018, YOU BOUGHT, HCA, HCA HEALTHCARE INC COM,Cash,100,103.27,,,,-10327, 03/16/2018
 03/14/2018, YOU BOUGHT, CELG, CELGENE CORP,Cash,100,91.98,,,,-9198, 03/16/2018
 03/14/2018, ROLLOVER CASH        DIRECT ROLLOVER FROM FIRSCO PLAN 35004 as of 03/13/2018, , No Description,Cash,,,,,,1900.82,
 03/14/2018, ROLLOVER CASH        DIRECT ROLLOVER FROM FIRSCO PLAN 35004 as of 03/13/2018, , No Description,Cash,,,,,,2045.9,
 03/14/2018, ROLLOVER CASH        DIRECT ROLLOVER FROM FIRSCO PLAN 35004 as of 03/13/2018, , No Description,Cash,,,,,,2569.39,
 03/14/2018, ROLLOVER CASH        DIRECT ROLLOVER FROM FIRSCO PLAN 35004 as of 03/13/2018, , No Description,Cash,,,,,,23148.46,
